timestamp,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,temperatura
2024-01-01T00:00:00Z,4.50415836,9.547615199,13.40107672,15.02621706,28.9952992,43.44554685,14.22149208
2024-01-01T00:05:00Z,4.453060791,9.699910185,13.37441491,15.21913524,28.8412543,43.48948395,14.21656063
2024-01-01T01:00:00Z,4.512710717,9.704551486,13.2736483,15.21840186,28.90729846,43.19876478,14.40514537
2024-01-01T01:05:00Z,4.452377918,9.985413538,13.31654346,15.15935004,28.6351153,43.42460554,14.408772225
2024-01-01T02:00:00Z,4.521475802,9.661182072,13.33217394,15.19534335,29.0871686,43.40986155,14.48058887
2024-01-01T02:05:00Z,4.499902058,9.89531093,13.34770959,15.13227846,28.95539202,43.61973681,14.467976759999999
2024-01-01T03:00:00Z,4.477902542,9.479805532,13.24588912,15.22103722,28.8279229,43.52587589,14.549427210000001
2024-01-01T03:05:00Z,4.459346308,9.501423931,13.27595582,15.18377562,29.01816847,42.9328125,14.546284530000001
2024-01-01T04:00:00Z,4.425281569,9.369251069,13.25403451,15.15134266,28.6964183,43.47432463,14.526304455
2024-01-01T04:05:00Z,4.509147075,9.26869616,13.41599976,15.04750156,29.06473853,43.48598068,14.53349184
2024-01-01T05:00:00Z,4.39499345,9.349179065,13.30663067,15.1058113,29.05651505,43.5617415,14.31021812
2024-01-01T05:05:00Z,4.496208411,9.905624651,13.2994697,15.13685913,28.61139594,43.09851295,14.302456715
2024-01-01T06:00:00Z,4.503836141,9.447135516,13.22798322,15.23130375,28.66899272,43.40636472,14.21200834
2024-01-01T07:00:00Z,4.504948036,9.973919197,13.19561704,15.16823792,28.84996087,43.61578218,14.375013200000001
2024-01-01T08:00:00Z,4.537594218,9.269824649,13.33982293,15.1434766,28.82820007,43.23562253,14.321259485
2024-01-01T09:00:00Z,4.497106075,9.57272908,13.26313939,15.03496428,29.00337194,43.37892697,14.60771458
2024-01-01T10:00:00Z,4.485094752,9.82710059,13.32957987,15.25244612,28.97955785,43.49717518,15.217015455
2024-01-01T11:05:00Z,4.470342599,9.858024367,13.32168532,15.17817162,28.76255184,43.2384946,16.115705955
2024-01-01T12:00:00Z,4.484655942,9.642091946,13.300555,15.17725292,28.96644603,43.37738061,15.875855975
2024-01-01T13:05:00Z,4.480869494,9.519756932,13.29098145,15.15900588,28.82275312,43.35311777,15.835058440000001
2024-01-01T14:00:00Z,4.530133425,9.77457671,13.35795638,15.11241669,29.08127545,43.22788553,15.631395895
2024-01-01T15:05:00Z,4.473822113,9.507188744,13.36300331,15.2784346,28.99617041,42.80664651,14.850504765
2024-01-01T17:00:00Z,4.518269445,9.719327835,13.26335219,15.20969538,28.68877602,43.14421844,14.538743310000001
2024-01-01T18:00:00Z,4.564175813,9.608701559,13.25555817,15.2269772,28.94862357,43.23017276,14.33612149
2024-01-01T19:10:00Z,4.49708589,9.465503839,13.25918654,15.18668563,28.81520301,43.41786902,14.04718711
2024-01-01T20:00:00Z,4.500453087,9.949553467,13.24584209,15.11319213,28.81301978,43.0158125,13.87767069
2024-01-01T21:00:00Z,4.458848485,9.272502129,13.18329708,15.20985556,28.81374088,43.40915509,13.71524981
2024-01-01T22:00:00Z,4.468050002,9.695727004,13.35525475,15.1302441,28.87824921,43.43901976,13.557771565
2024-01-01T23:00:00Z,4.520651154,9.956512289,13.35064482,15.22389257,28.77988349,43.32690479,13.39644398
2024-01-02T00:00:00Z,4.512348809,9.377516396,13.31585043,15.17577012,28.94975618,43.19877728,13.249456695
2024-01-02T00:05:00Z,4.495891776,9.406248769,13.28273888,15.21175027,28.76863034,43.43293583,13.23281221
2024-01-02T01:00:00Z,4.472387993,9.811829553,13.49142634,15.25311738,28.98496758,43.22285453,12.92203777
2024-01-02T01:05:00Z,4.444393361,9.960600653,13.2436245,15.11311699,28.83947029,43.22950446,12.919981114999999
